Tanggal,Arah Angin Saat Kec Maks,Arah Angin Terbanyak,Kec Angin Maks,Kec Angin Rata-rata,Kelembaban,Lamanya Penyinaran,Temp Maks,Temp Min,Temp Rata-rata,Curah Hujan
43703,100.0,C ,3.0,1.0,70.0,8.9,32.6,23.0,28.1,
43704,50.0,E ,3.0,2.0,74.0,2.7,32.6,24.0,28.1,
43705,210.0,C ,6.0,2.0,80.0,7.6,33.0,24.0,27.6,8888.0
43706,90.0,NE,4.0,2.0,75.0,2.7,33.0,24.0,28.0,8.4
43707,110.0,NE,5.0,2.0,70.0,7.2,34.2,24.0,28.5,
43708,50.0,NE,4.0,2.0,66.0,8.6,33.6,23.0,27.3,0.0
43709,170.0,S ,4.0,2.0,70.0,,34.0,23.0,28.0,
43710,200.0,S ,3.0,1.0,72.0,6.5,34.6,23.0,28.3,
43711,90.0,C ,3.0,1.0,71.0,5.8,34.8,24.0,28.9,
43712,100.0,E ,3.0,2.0,75.0,7.4,34.0,25.0,28.9,
43713,160.0,C ,4.0,1.0,73.0,4.1,33.2,25.0,28.4,0.0
43714,190.0,S ,4.0,2.0,70.0,5.0,33.0,23.0,27.5,0.0
43715,50.0,C ,4.0,2.0,67.0,7.1,33.6,24.0,28.5,
43716,50.0,E ,3.0,2.0,66.0,6.7,34.0,24.0,28.8,
43717,40.0,E ,4.0,2.0,70.0,8.6,34.2,24.0,28.3,
43718,70.0,NE,6.0,4.0,57.0,7.7,36.2,24.0,30.0,0.0
43719,70.0,C ,5.0,2.0,58.0,9.4,36.1,23.0,29.0,
43720,170.0,E ,3.0,2.0,68.0,10.0,33.8,23.0,28.1,
43721,190.0,S ,3.0,2.0,66.0,9.2,32.0,23.0,27.4,0.0
43722,120.0,SE,3.0,2.0,65.0,6.6,32.8,22.0,27.4,
43723,90.0,E ,3.0,2.0,69.0,8.2,33.0,23.0,27.4,0.0
43724,70.0,E ,3.0,2.0,70.0,7.1,33.8,24.0,29.1,
43725,60.0,NE,4.0,2.0,72.0,8.3,33.8,24.0,28.3,
43726,70.0,E ,4.0,2.0,70.0,7.7,34.6,24.0,28.9,0.0
43727,220.0,E ,4.0,2.0,68.0,7.5,33.6,26.0,29.2,
43728,50.0,C ,4.0,2.0,63.0,,33.9,25.0,28.6,
43729,190.0,S ,4.0,2.0,64.0,9.0,34.0,24.0,28.6,0.0
43730,110.0,E ,3.0,2.0,64.0,7.5,34.6,24.0,29.2,
43731,70.0,E ,5.0,3.0,66.0,8.6,34.3,24.0,28.8,
43732,60.0,E ,6.0,3.0,67.0,7.9,35.2,24.0,29.1,0.0
43733,250.0,E ,3.0,2.0,72.0,7.9,34.8,25.0,29.4,
43734,110.0,E ,4.0,2.0,68.0,0.0,35.8,25.0,29.8,
43735,70.0,E ,4.0,2.0,66.0,8.4,35.2,25.0,29.6,0.0
43736,110.0,E ,3.0,2.0,66.0,7.9,34.7,25.0,29.7,
43737,40.0,E ,4.0,2.0,70.0,8.6,34.8,25.0,29.5,
43738,50.0,E ,4.0,3.0,67.0,7.5,35.0,25.0,29.6,0.0
43739,160.0,C ,4.0,1.0,69.0,7.4,35.2,23.0,28.8,
43740,50.0,C ,4.0,2.0,68.0,8.8,34.4,24.0,29.3,
43741,210.0,C ,4.0,2.0,72.0,8.5,34.3,24.0,29.3,
43742,70.0,E ,5.0,3.0,63.0,7.2,35.6,25.0,29.8,
43743,80.0,E ,5.0,2.0,62.0,9.0,35.8,24.0,29.3,0.0
43744,80.0,E ,3.0,2.0,62.0,9.5,35.6,24.0,29.4,
43745,70.0,E ,5.0,2.0,62.0,9.4,35.0,25.0,29.5,
43746,230.0,S ,4.0,2.0,66.0,7.8,35.2,25.0,29.8,
43747,210.0,C ,3.0,1.0,76.0,8.4,33.6,23.0,28.8,33.3
43748,140.0,C ,4.0,1.0,76.0,9.2,33.3,24.0,28.8,
43749,120.0,NE,3.0,2.0,74.0,4.3,33.6,24.0,28.9,8888.0
43750,200.0,C ,4.0,1.0,70.0,5.7,33.8,25.0,29.7,
43751,100.0,E ,4.0,2.0,70.0,5.6,34.8,24.0,29.3,0.0
43752,70.0,E ,4.0,2.0,71.0,8.1,34.8,25.0,29.3,
43753,60.0,S ,3.0,2.0,68.0,9.8,34.5,25.0,29.5,
43754,70.0,E ,4.0,2.0,70.0,7.8,34.0,24.0,29.2,0.0
43755,80.0,C ,3.0,1.0,76.0,7.6,34.8,25.0,29.3,6.5
43756,100.0,C ,4.0,1.0,74.0,7.6,32.6,25.0,28.5,2.0
43757,50.0,E ,3.0,2.0,74.0,3.3,34.2,25.0,29.6,8888.0
43758,80.0,NE,4.0,2.0,66.0,8.4,34.6,25.0,29.5,0.0
43759,60.0,E ,5.0,3.0,62.0,10.5,37.2,24.0,30.0,0.0
43760,70.0,E ,5.0,2.0,59.0,9.9,37.2,25.0,30.5,
43761,50.0,C ,4.0,2.0,64.0,10.4,36.3,25.0,30.5,
43762,50.0,C ,4.0,2.0,66.0,9.8,35.4,,29.9,0.0
43763,210.0,C ,3.0,1.0,68.0,9.7,34.9,26.0,30.2,
43764,170.0,S ,4.0,2.0,67.0,8.3,35.4,25.0,29.6,0.0
43765,170.0,C ,2.0,1.0,74.0,9.6,33.2,25.0,28.7,0.0
43766,290.0,C ,4.0,2.0,72.0,2.1,33.7,25.0,29.3,3.3
43767,200.0,C ,3.0,2.0,72.0,7.6,33.6,24.0,29.1,0.0
43768,160.0,C ,3.0,1.0,68.0,6.2,35.0,24.0,29.0,
43769,230.0,S ,3.0,2.0,68.0,9.3,34.8,25.0,29.7,0.0
43770,70.0,C ,4.0,1.0,76.0,8.0,34.3,25.0,28.1,
43771,210.0,C ,3.0,2.0,80.0,5.6,34.8,23.0,27.0,8888.0
43772,130.0,S ,3.0,1.0,78.0,6.5,33.6,23.0,27.7,76.0
43773,80.0,C ,3.0,2.0,74.0,8.4,34.1,24.0,29.1,0.2
43774,200.0,C ,3.0,1.0,70.0,6.3,34.5,25.0,29.3,
43775,160.0,S ,4.0,2.0,70.0,8.6,34.4,24.0,28.8,6.2
43776,230.0,C ,4.0,1.0,72.0,6.8,34.5,22.0,28.5,1.5
43777,200.0,SW,3.0,2.0,65.0,10.6,35.4,,28.8,0.0
43778,70.0,C ,3.0,1.0,67.0,9.9,36.0,24.0,29.7,
43779,280.0,C ,4.0,1.0,72.0,10.1,34.8,24.0,29.3,
